moyenne,mediane,ecartType,variance,symetrie,kurtosis,harmonique,appareil
-0.001,-0.000,-0.002,-0.000,-0.506,-0.237,-0.008,LaundryDrier
-0.001,-0.000,-0.002,-0.000,-0.506,-0.237,-0.008,LaundryDrier
-0.001,-0.000,-0.002,-0.000,-0.506,-0.237,-0.008,LaundryDrier
0.015,0.009,0.018,0.000,-2.615,0.497,0.204,LaundryDrier
0.010,0.009,0.026,0.000,-0.673,-0.090,0.121,LaundryDrier
-0.000,-0.000,0.001,-0.000,0.807,0.152,-0.007,LaundryDrier
-0.001,-0.000,-0.002,-0.000,-0.506,-0.237,-0.008,LaundryDrier
-0.001,-0.000,-0.002,-0.000,-0.506,-0.237,-0.008,LaundryDrier
-0.000,-0.000,0.000,-0.000,0.097,-0.029,-0.005,LaundryDrier
-0.001,-0.000,-0.002,-0.000,-0.506,-0.237,-0.008,LaundryDrier
-0.000,-0.000,0.001,-0.000,0.599,0.086,-0.007,LaundryDrier
-0.001,-0.000,-0.000,-0.000,2.485,1.143,-0.007,LaundryDrier
-0.001,-0.000,-0.002,-0.000,-0.506,-0.237,-0.008,LaundryDrier
-0.001,-0.000,-0.002,-0.000,-0.506,-0.237,-0.008,LaundryDrier
-0.001,-0.000,-0.002,-0.000,-0.506,-0.237,-0.008,LaundryDrier
-0.001,-0.000,-0.000,-0.000,2.065,0.771,-0.008,LaundryDrier
-0.001,-0.000,0.000,-0.000,2.659,1.252,-0.007,LaundryDrier
-0.001,-0.000,-0.002,-0.000,-0.506,-0.237,-0.008,LaundryDrier
-0.001,-0.000,-0.002,-0.000,-0.506,-0.237,-0.008,LaundryDrier
-0.000,-0.000,-0.000,-0.000,1.510,0.459,-0.007,LaundryDrier
-0.001,-0.000,-0.002,-0.000,-0.506,-0.237,-0.008,LaundryDrier
-0.000,-0.000,0.000,-0.000,1.052,0.223,-0.007,LaundryDrier
-0.001,-0.000,-0.002,-0.000,-0.506,-0.237,-0.008,LaundryDrier
-0.001,-0.000,-0.002,-0.000,-0.506,-0.237,-0.008,LaundryDrier
-0.001,-0.000,-0.002,-0.000,-0.506,-0.237,-0.008,LaundryDrier
-0.000,-0.000,0.001,-0.000,0.234,0.015,-0.006,LaundryDrier
-0.001,-0.000,-0.002,-0.000,-0.506,-0.237,-0.008,LaundryDrier
-0.001,-0.000,-0.002,-0.000,-0.506,-0.237,-0.008,LaundryDrier
-0.000,-0.000,-0.000,-0.000,1.743,0.591,-0.007,LaundryDrier
-0.001,-0.000,-0.002,-0.000,-0.506,-0.237,-0.008,LaundryDrier
-0.001,-0.000,-0.002,-0.000,-0.506,-0.237,-0.008,LaundryDrier
-0.000,-0.000,-0.000,-0.000,1.614,0.494,-0.007,LaundryDrier
-0.000,-0.000,0.000,-0.000,0.693,0.093,-0.007,LaundryDrier
-0.001,-0.000,-0.002,-0.000,-0.506,-0.237,-0.008,LaundryDrier
-0.000,-0.000,-0.000,-0.000,1.501,0.456,-0.007,LaundryDrier
-0.000,-0.000,0.001,-0.000,0.207,0.014,-0.005,LaundryDrier
-0.001,-0.000,-0.002,-0.000,-0.506,-0.237,-0.008,LaundryDrier
-0.001,-0.000,-0.002,-0.000,-0.506,-0.237,-0.008,LaundryDrier
0.001,0.000,0.001,-0.000,-1.134,0.058,-0.001,LaundryDrier
-0.001,-0.000,-0.002,-0.000,-0.506,-0.237,-0.008,LaundryDrier
-0.001,-0.000,-0.002,-0.000,-0.506,-0.237,-0.008,LaundryDrier
-0.001,-0.000,-0.002,-0.000,-0.506,-0.237,-0.008,LaundryDrier
-0.001,-0.000,-0.002,-0.000,-0.506,-0.237,-0.008,LaundryDrier
0.000,0.000,0.001,-0.000,-0.285,-0.048,-0.001,LaundryDrier
-0.001,-0.000,-0.002,-0.000,-0.506,-0.237,-0.008,LaundryDrier
-0.001,-0.000,-0.002,-0.000,-0.506,-0.237,-0.008,LaundryDrier
-0.000,-0.000,0.000,-0.000,1.614,0.494,-0.007,LaundryDrier
-0.001,-0.000,-0.002,-0.000,-0.317,-0.039,-0.008,LaundryDrier
-0.001,-0.000,-0.002,-0.000,-0.317,-0.039,-0.008,LaundryDrier
-0.001,-0.000,-0.002,-0.000,-0.317,-0.039,-0.008,LaundryDrier
-0.001,-0.000,-0.002,-0.000,-0.317,-0.039,-0.008,LaundryDrier
-0.001,-0.000,-0.002,-0.000,-0.317,-0.039,-0.008,LaundryDrier
-0.001,-0.000,-0.002,-0.000,-0.317,-0.039,-0.008,LaundryDrier
0.000,0.000,0.001,-0.000,-0.073,-0.010,-0.003,LaundryDrier
0.010,0.009,0.025,0.000,-0.892,-0.015,0.057,LaundryDrier
-0.001,-0.000,-0.002,-0.000,-0.317,-0.039,-0.008,LaundryDrier
-0.000,-0.000,0.000,-0.000,0.353,-0.011,-0.007,LaundryDrier
-0.001,-0.000,-0.002,-0.000,-0.317,-0.039,-0.008,LaundryDrier
-0.001,-0.000,-0.002,-0.000,-0.317,-0.039,-0.008,LaundryDrier
