moyenne,mediane,ecartType,variance,symetrie,kurtosis,harmonique,appareil
0.040,0.034,-0.084,-0.001,-0.141,0.012,0.034,PC-Desktop
-0.030,-0.017,0.001,-0.000,1.468,0.405,-0.017,PC-Desktop
-0.010,-0.017,0.083,0.002,-1.327,-0.417,-0.017,PC-Desktop
11.896,2.000,27.208,740.284,2.520,4.389,2.486,PC-Desktop
0.029,0.023,-0.066,-0.002,5.172,0.519,0.023,PC-Desktop
-0.029,-0.023,0.066,0.002,-5.172,-0.519,-0.023,PC-Desktop
16.017,2.000,32.436,1052.116,1.973,1.942,2.601,PC-Desktop
15.358,2.000,31.906,1017.987,2.066,2.323,2.573,PC-Desktop
17.511,2.000,33.492,1121.697,1.795,1.325,2.664,PC-Desktop
19.146,2.000,34.875,1216.280,1.616,0.655,2.733,PC-Desktop
0.609,2.000,0.121,0.007,0.554,0.081,23.636,PC-Desktop
-0.609,2.000,-0.121,-0.007,-0.554,-0.081,-23.636,PC-Desktop
31.869,2.000,42.341,1792.720,0.761,-1.377,3.309,PC-Desktop
5.863,2.000,18.586,345.438,5.239,25.867,2.304,PC-Desktop
4.919,2.000,15.081,227.424,5.868,32.996,2.287,PC-Desktop
