moyenne,mediane,ecartType,variance,symetrie,kurtosis,harmonique,appareil
0.023,0.024,-0.031,-0.001,-0.025,-0.004,0.029,Refrigerator
-0.013,-0.013,-0.040,-0.001,-0.024,-0.004,-0.014,Refrigerator
-0.013,-0.013,-0.040,-0.001,-0.024,-0.004,-0.014,Refrigerator
-0.013,-0.013,-0.040,-0.001,-0.024,-0.004,-0.014,Refrigerator
-0.013,-0.013,-0.040,-0.001,-0.024,-0.004,-0.014,Refrigerator
-0.013,-0.013,-0.040,-0.001,-0.024,-0.004,-0.014,Refrigerator
-0.013,-0.013,-0.040,-0.001,-0.024,-0.004,-0.014,Refrigerator
-0.013,-0.013,-0.040,-0.001,-0.024,-0.004,-0.014,Refrigerator
-0.013,-0.013,-0.040,-0.001,-0.024,-0.004,-0.014,Refrigerator
-0.013,-0.013,-0.040,-0.001,-0.024,-0.004,-0.014,Refrigerator
-0.013,-0.013,-0.040,-0.001,-0.024,-0.004,-0.014,Refrigerator
0.031,0.031,0.009,-0.001,-0.309,0.013,0.034,Refrigerator
-0.013,-0.013,-0.040,-0.001,-0.024,-0.004,-0.014,Refrigerator
-0.013,-0.013,-0.040,-0.001,-0.024,-0.004,-0.014,Refrigerator
-0.013,-0.013,-0.040,-0.001,-0.024,-0.004,-0.014,Refrigerator
-0.013,-0.013,-0.040,-0.001,-0.024,-0.004,-0.014,Refrigerator
-0.013,-0.013,-0.040,-0.001,-0.024,-0.004,-0.014,Refrigerator
-0.013,-0.013,-0.040,-0.001,-0.024,-0.004,-0.014,Refrigerator
-0.013,-0.013,-0.040,-0.001,-0.024,-0.004,-0.014,Refrigerator
0.034,0.034,-0.009,-0.001,-0.017,-0.004,0.042,Refrigerator
0.035,0.035,0.197,0.003,0.456,0.026,0.031,Refrigerator
-0.013,-0.013,-0.040,-0.001,-0.024,-0.004,-0.014,Refrigerator
-0.013,-0.013,-0.040,-0.001,-0.024,-0.004,-0.014,Refrigerator
-0.013,-0.013,-0.040,-0.001,-0.024,-0.004,-0.014,Refrigerator
-0.013,-0.013,-0.040,-0.001,-0.024,-0.004,-0.014,Refrigerator
-0.013,-0.013,-0.040,-0.001,-0.024,-0.004,-0.014,Refrigerator
-0.013,-0.013,-0.040,-0.001,-0.024,-0.004,-0.014,Refrigerator
0.036,0.036,0.256,0.005,0.523,0.031,0.044,Refrigerator
-0.013,-0.013,-0.040,-0.001,-0.024,-0.004,-0.014,Refrigerator
-0.013,-0.013,-0.040,-0.001,-0.024,-0.004,-0.014,Refrigerator
-0.013,-0.013,-0.040,-0.001,-0.024,-0.004,-0.014,Refrigerator
0.036,0.036,0.020,-0.000,-0.319,0.012,0.037,Refrigerator
-0.013,-0.013,-0.040,-0.001,-0.024,-0.004,-0.014,Refrigerator
-0.008,-0.007,-0.001,-0.001,-0.082,-0.003,-0.010,Refrigerator
0.036,0.036,0.273,0.006,0.490,0.029,0.032,Refrigerator
0.037,0.037,0.240,0.004,0.501,0.031,0.033,Refrigerator
-0.013,-0.013,-0.040,-0.001,-0.024,-0.004,-0.014,Refrigerator
-0.013,-0.013,-0.040,-0.001,-0.024,-0.004,-0.014,Refrigerator
0.036,0.036,0.015,-0.000,-0.338,0.014,0.038,Refrigerator
-0.009,-0.007,0.018,-0.000,-0.034,-0.004,-0.012,Refrigerator
0.035,0.035,0.011,-0.001,0.014,-0.003,0.043,Refrigerator
-0.013,-0.013,-0.040,-0.001,-0.024,-0.004,-0.014,Refrigerator
0.040,0.041,-0.031,-0.001,-0.024,-0.004,0.049,Refrigerator
-0.008,-0.007,0.008,-0.001,-0.058,-0.004,-0.011,Refrigerator
-0.010,-0.010,0.019,-0.000,-0.023,-0.004,-0.013,Refrigerator
-0.013,-0.013,-0.040,-0.001,-0.024,-0.004,-0.014,Refrigerator
0.037,0.038,0.046,-0.000,-0.242,0.005,0.031,Refrigerator
-0.013,-0.013,-0.040,-0.001,-0.024,-0.004,-0.014,Refrigerator
-0.013,-0.013,-0.040,-0.001,-0.024,-0.004,-0.014,Refrigerator
-0.013,-0.013,-0.040,-0.001,-0.024,-0.004,-0.014,Refrigerator
-0.013,-0.013,-0.040,-0.001,-0.024,-0.004,-0.014,Refrigerator
-0.013,-0.013,-0.040,-0.001,-0.024,-0.004,-0.014,Refrigerator
0.036,0.036,-0.005,-0.001,0.005,-0.003,0.045,Refrigerator
0.038,0.037,0.406,0.012,0.339,0.011,0.046,Refrigerator
-0.012,-0.014,-0.135,-0.003,-0.062,-0.003,-0.010,Refrigerator
0.019,0.022,-0.064,-0.003,-0.077,-0.003,0.020,Refrigerator
0.013,0.014,-0.082,-0.003,-0.068,-0.003,0.014,Refrigerator
0.016,0.014,-0.024,-0.002,0.035,0.001,0.016,Refrigerator
0.017,0.022,-0.075,-0.003,-0.077,-0.003,0.018,Refrigerator
0.016,0.014,-0.059,-0.002,-0.065,-0.003,0.017,Refrigerator
0.017,0.022,-0.069,-0.003,-0.076,-0.003,0.018,Refrigerator
0.024,0.022,0.230,0.008,0.188,0.008,0.022,Refrigerator
0.022,0.022,0.358,0.016,0.216,0.010,0.019,Refrigerator
0.017,0.014,0.045,-0.000,0.112,0.004,0.017,Refrigerator
-0.234,-0.234,-0.145,-0.003,-0.102,-0.003,-0.236,Refrigerator
0.026,0.022,0.196,0.006,0.201,0.009,0.025,Refrigerator
0.020,0.022,-0.059,-0.002,-0.074,-0.003,0.021,Refrigerator
0.018,0.022,-0.060,-0.002,-0.075,-0.003,0.019,Refrigerator
0.020,0.022,-0.057,-0.002,-0.076,-0.003,0.021,Refrigerator
0.013,0.013,0.034,0.000,0.301,0.026,0.011,Refrigerator
-0.026,-0.027,-0.017,-0.000,-0.017,-0.008,-0.027,Refrigerator
0.013,0.015,-0.008,-0.000,-0.228,0.011,0.010,Refrigerator
0.015,0.015,0.034,0.000,0.279,0.021,0.019,Refrigerator
0.014,0.016,-0.012,-0.000,0.018,-0.007,0.020,Refrigerator
0.014,0.016,-0.007,-0.000,-0.222,0.010,0.010,Refrigerator
-0.026,-0.027,-0.017,-0.000,-0.017,-0.008,-0.027,Refrigerator
-0.026,-0.027,-0.017,-0.000,-0.017,-0.008,-0.027,Refrigerator
0.014,0.016,-0.007,-0.000,-0.219,0.010,0.011,Refrigerator
-0.021,-0.022,-0.017,-0.000,-0.017,-0.008,-0.022,Refrigerator
0.014,0.015,0.004,-0.000,0.074,0.005,0.003,Refrigerator
-0.026,-0.027,-0.017,-0.000,-0.017,-0.008,-0.027,Refrigerator
0.013,0.015,-0.007,-0.000,-0.229,0.011,0.010,Refrigerator
0.015,0.016,0.011,-0.000,0.279,0.021,0.020,Refrigerator
0.013,0.014,-0.011,-0.000,0.017,-0.007,0.019,Refrigerator
-0.026,-0.027,-0.017,-0.000,-0.017,-0.008,-0.027,Refrigerator
0.013,0.015,-0.012,-0.000,0.002,-0.007,0.019,Refrigerator
-0.021,-0.022,-0.016,-0.000,-0.005,-0.008,-0.022,Refrigerator
0.012,0.013,-0.011,-0.000,-0.012,-0.007,0.017,Refrigerator
-0.022,-0.022,-0.010,-0.000,-0.038,-0.007,-0.026,Refrigerator
0.013,0.014,-0.012,-0.000,0.040,-0.006,0.019,Refrigerator
-0.023,-0.024,-0.010,-0.000,-0.020,-0.008,-0.026,Refrigerator
0.013,0.015,-0.013,-0.000,-0.005,-0.007,0.019,Refrigerator
0.026,0.017,0.152,0.001,0.070,-0.005,0.024,Refrigerator
-0.243,-0.246,-0.129,-0.003,-0.097,-0.004,-0.244,Refrigerator
0.013,0.008,-0.070,-0.003,-0.066,-0.003,0.014,Refrigerator
0.018,0.016,0.289,0.013,0.161,0.007,0.015,Refrigerator
0.014,0.016,-0.079,-0.003,-0.083,-0.004,0.015,Refrigerator
0.010,0.008,-0.085,-0.003,-0.078,-0.004,0.012,Refrigerator
0.015,0.016,-0.080,-0.003,-0.087,-0.004,0.016,Refrigerator
0.012,0.008,-0.038,-0.002,0.031,0.000,0.012,Refrigerator
0.015,0.016,-0.080,-0.003,-0.084,-0.004,0.016,Refrigerator
0.016,0.016,0.166,0.005,0.158,0.007,0.014,Refrigerator
0.016,0.024,-0.076,-0.003,-0.083,-0.004,0.017,Refrigerator
0.012,0.016,-0.079,-0.003,-0.082,-0.004,0.013,Refrigerator
0.014,0.016,0.219,0.008,0.150,0.007,0.009,Refrigerator
0.016,0.016,0.154,0.005,0.166,0.008,0.014,Refrigerator
0.011,0.012,-0.074,-0.003,-0.081,-0.004,0.012,Refrigerator
0.018,0.016,0.088,0.002,0.140,0.006,0.018,Refrigerator
0.043,0.041,-0.125,-0.003,-0.065,-0.004,0.045,Refrigerator
0.013,0.013,-0.031,-0.000,0.043,-0.011,0.018,Refrigerator
0.013,0.013,-0.036,-0.000,0.063,-0.010,0.019,Refrigerator
0.013,0.013,0.035,-0.000,-0.181,0.008,0.003,Refrigerator
-0.027,-0.027,-0.065,-0.001,0.034,-0.012,-0.028,Refrigerator
0.014,0.013,0.011,-0.000,-0.236,0.021,0.009,Refrigerator
0.014,0.014,0.015,-0.000,-0.227,0.019,0.008,Refrigerator
0.014,0.014,-0.036,-0.000,0.078,-0.010,0.020,Refrigerator
0.015,0.015,0.009,-0.000,-0.246,0.024,0.010,Refrigerator
-0.027,-0.027,-0.065,-0.001,0.034,-0.012,-0.028,Refrigerator
0.015,0.015,0.134,0.001,0.349,0.026,0.021,Refrigerator
-0.027,-0.027,-0.065,-0.001,0.034,-0.012,-0.028,Refrigerator
0.016,0.015,0.408,0.009,0.349,0.026,0.021,Refrigerator
0.015,0.015,0.019,-0.000,-0.196,0.015,0.009,Refrigerator
-0.022,-0.022,-0.056,-0.001,0.034,-0.011,-0.022,Refrigerator
-0.025,-0.025,-0.014,-0.000,0.040,-0.011,-0.027,Refrigerator
-0.024,-0.024,0.001,-0.000,0.034,-0.011,-0.027,Refrigerator
-0.022,-0.022,-0.057,-0.001,0.062,-0.011,-0.022,Refrigerator
0.015,0.015,-0.019,-0.000,0.067,-0.010,0.020,Refrigerator
0.015,0.015,-0.030,-0.000,0.069,-0.010,0.021,Refrigerator
-0.027,-0.027,-0.065,-0.001,0.034,-0.012,-0.028,Refrigerator
-0.027,-0.027,-0.065,-0.001,0.034,-0.012,-0.028,Refrigerator
0.014,0.014,-0.018,-0.000,0.080,-0.010,0.020,Refrigerator
0.014,0.014,-0.032,-0.000,0.058,-0.010,0.019,Refrigerator
0.014,0.014,0.002,-0.000,-0.186,0.020,0.013,Refrigerator
0.014,0.015,0.019,-0.000,-0.227,0.017,0.008,Refrigerator
105.547,122.000,41.327,1707.905,-2.002,2.136,24.406,Refrigerator
-0.712,-0.722,-0.018,-0.002,0.076,0.003,-0.909,Refrigerator
1.300,-0.722,0.132,0.004,0.110,0.005,0.408,Refrigerator
0.365,-0.722,0.112,0.003,0.111,0.005,-1.019,Refrigerator
-1.247,-0.722,-0.103,-0.003,-0.080,-0.004,-0.386,Refrigerator
-2.622,-0.722,-0.093,-0.003,-0.108,-0.003,-5.377,Refrigerator
0.293,-0.722,0.139,0.004,0.112,0.005,-1.602,Refrigerator
-1.520,-0.722,-0.106,-0.003,-0.081,-0.004,-0.818,Refrigerator
-1.176,-0.722,-0.099,-0.003,-0.085,-0.004,-0.483,Refrigerator
-0.607,1.625,-0.098,-0.003,-0.083,-0.004,0.712,Refrigerator
1.008,1.625,-0.097,-0.003,-0.085,-0.004,3.977,Refrigerator
-1.131,-0.722,-0.098,-0.003,-0.083,-0.004,-0.370,Refrigerator
2.816,1.625,0.221,0.009,0.102,0.004,1.291,Refrigerator
3.232,1.625,0.106,0.003,0.095,0.004,4.574,Refrigerator
0.022,0.022,0.002,-0.001,-0.020,-0.003,0.026,Refrigerator
-0.014,-0.014,0.001,-0.001,-0.031,-0.003,-0.016,Refrigerator
-0.017,-0.017,-0.062,-0.001,-0.031,-0.003,-0.017,Refrigerator
-0.017,-0.017,-0.062,-0.001,-0.031,-0.003,-0.017,Refrigerator
-0.017,-0.017,-0.062,-0.001,-0.031,-0.003,-0.017,Refrigerator
0.022,0.021,0.026,-0.001,-0.133,0.001,0.018,Refrigerator
-0.017,-0.017,-0.062,-0.001,-0.031,-0.003,-0.017,Refrigerator
-0.017,-0.017,-0.062,-0.001,-0.031,-0.003,-0.017,Refrigerator
0.022,0.022,-0.021,-0.001,-0.029,-0.003,0.025,Refrigerator
-0.017,-0.017,-0.062,-0.001,-0.031,-0.003,-0.017,Refrigerator
-0.017,-0.017,-0.062,-0.001,-0.031,-0.003,-0.017,Refrigerator
-0.017,-0.017,-0.062,-0.001,-0.031,-0.003,-0.017,Refrigerator
-0.017,-0.017,-0.062,-0.001,-0.031,-0.003,-0.017,Refrigerator
-0.017,-0.017,-0.062,-0.001,-0.031,-0.003,-0.017,Refrigerator
0.024,0.024,0.272,0.009,0.298,0.012,0.022,Refrigerator
0.025,0.024,0.311,0.011,0.276,0.010,0.022,Refrigerator
-0.017,-0.017,-0.062,-0.001,-0.031,-0.003,-0.017,Refrigerator
0.025,0.024,-0.026,-0.001,-0.008,-0.002,0.028,Refrigerator
-0.017,-0.017,-0.062,-0.001,-0.031,-0.003,-0.017,Refrigerator
0.023,0.023,0.012,-0.001,-0.085,-0.001,0.023,Refrigerator
0.023,0.024,0.005,-0.001,-0.181,0.003,0.022,Refrigerator
-0.017,-0.017,-0.062,-0.001,-0.031,-0.003,-0.017,Refrigerator
0.024,0.024,-0.008,-0.001,-0.143,0.002,0.027,Refrigerator
-0.012,-0.012,-0.014,-0.001,-0.065,-0.002,-0.014,Refrigerator
-0.012,-0.011,-0.001,-0.001,-0.054,-0.003,-0.015,Refrigerator
0.024,0.024,0.247,0.007,0.315,0.014,0.022,Refrigerator
0.024,0.024,-0.027,-0.001,-0.018,-0.003,0.027,Refrigerator
0.023,0.023,0.201,0.005,0.400,0.023,0.026,Refrigerator
-0.017,-0.017,-0.062,-0.001,-0.031,-0.003,-0.017,Refrigerator
-0.017,-0.017,-0.062,-0.001,-0.031,-0.003,-0.017,Refrigerator
-0.012,-0.012,-0.041,-0.001,-0.035,-0.003,-0.012,Refrigerator
0.022,0.022,-0.008,-0.001,-0.027,-0.003,0.025,Refrigerator
0.017,0.016,-0.011,-0.000,0.234,-0.005,0.020,Refrigerator
0.017,0.016,-0.014,-0.000,0.177,-0.007,0.019,Refrigerator
0.017,0.016,-0.013,-0.000,0.152,-0.008,0.019,Refrigerator
-0.022,-0.022,-0.036,-0.000,0.032,-0.011,-0.021,Refrigerator
-0.022,-0.022,-0.036,-0.000,0.032,-0.011,-0.021,Refrigerator
0.017,0.016,0.016,-0.000,-0.982,0.095,0.011,Refrigerator
0.015,0.014,-0.001,-0.000,0.069,-0.009,0.017,Refrigerator
0.015,0.014,-0.010,-0.000,0.081,-0.009,0.017,Refrigerator
0.015,0.015,0.025,-0.000,-0.777,0.058,0.007,Refrigerator
0.016,0.015,-0.005,-0.000,0.100,-0.009,0.018,Refrigerator
-0.022,-0.022,-0.036,-0.000,0.032,-0.011,-0.021,Refrigerator
-0.022,-0.022,-0.036,-0.000,0.032,-0.011,-0.021,Refrigerator
-0.022,-0.022,-0.036,-0.000,0.032,-0.011,-0.021,Refrigerator
-0.022,-0.022,-0.036,-0.000,0.032,-0.011,-0.021,Refrigerator
-0.022,-0.022,-0.036,-0.000,0.032,-0.011,-0.021,Refrigerator
-0.022,-0.022,-0.036,-0.000,0.032,-0.011,-0.021,Refrigerator
-0.002,0.013,0.335,0.006,0.188,0.005,-0.018,Refrigerator
0.016,0.015,-0.012,-0.000,0.149,-0.007,0.018,Refrigerator
0.016,0.016,-0.013,-0.000,0.183,-0.007,0.019,Refrigerator
0.017,0.016,-0.006,-0.000,0.173,-0.008,0.019,Refrigerator
-0.032,-0.032,-0.084,-0.002,-0.006,-0.009,-0.034,Refrigerator
-0.032,-0.032,-0.084,-0.002,-0.006,-0.009,-0.034,Refrigerator
0.077,0.071,0.358,0.011,0.169,-0.005,0.075,Refrigerator
-0.032,-0.032,-0.084,-0.002,-0.006,-0.009,-0.034,Refrigerator
0.058,0.058,0.050,-0.001,-0.506,0.014,0.055,Refrigerator
0.073,0.075,0.079,-0.000,-0.618,0.019,0.058,Refrigerator
0.058,0.058,0.016,-0.001,-0.553,0.027,0.065,Refrigerator
-0.032,-0.032,-0.084,-0.002,-0.006,-0.009,-0.034,Refrigerator
0.058,0.058,0.042,-0.001,-0.547,0.019,0.055,Refrigerator
-0.032,-0.032,-0.084,-0.002,-0.006,-0.009,-0.034,Refrigerator
0.118,0.162,0.493,0.020,-0.009,-0.008,0.131,Refrigerator
-0.032,-0.032,-0.084,-0.002,-0.006,-0.009,-0.034,Refrigerator
-0.032,-0.032,-0.084,-0.002,-0.006,-0.009,-0.034,Refrigerator
0.058,0.058,0.039,-0.001,-0.525,0.016,0.062,Refrigerator
0.059,0.058,-0.017,-0.002,-0.074,-0.003,0.076,Refrigerator
0.076,0.075,0.398,0.013,1.156,0.086,0.080,Refrigerator
0.060,0.058,0.137,0.001,-0.095,-0.002,0.046,Refrigerator
-0.032,-0.032,-0.084,-0.002,-0.006,-0.009,-0.034,Refrigerator
-0.032,-0.032,-0.084,-0.002,-0.006,-0.009,-0.034,Refrigerator
-0.032,-0.032,-0.084,-0.002,-0.006,-0.009,-0.034,Refrigerator
-0.010,-0.012,0.186,0.003,0.001,-0.008,-0.030,Refrigerator
-0.032,-0.032,-0.084,-0.002,-0.006,-0.009,-0.034,Refrigerator
-0.032,-0.032,-0.084,-0.002,-0.006,-0.009,-0.034,Refrigerator
-0.032,-0.032,-0.084,-0.002,-0.006,-0.009,-0.034,Refrigerator
-0.032,-0.032,-0.084,-0.002,-0.006,-0.009,-0.034,Refrigerator
-0.032,-0.032,-0.084,-0.002,-0.006,-0.009,-0.034,Refrigerator
-0.032,-0.032,-0.084,-0.002,-0.006,-0.009,-0.034,Refrigerator
-0.032,-0.032,-0.084,-0.002,-0.006,-0.009,-0.034,Refrigerator
0.016,0.022,0.098,0.000,-0.247,-0.004,-0.007,Refrigerator
-0.026,-0.032,0.056,-0.001,0.094,-0.008,-0.033,Refrigerator
0.019,0.018,-0.061,-0.002,0.070,-0.008,0.028,Refrigerator
-0.032,-0.032,-0.084,-0.002,-0.006,-0.009,-0.034,Refrigerator
-0.032,-0.032,-0.084,-0.002,-0.006,-0.009,-0.034,Refrigerator
-0.032,-0.032,-0.084,-0.002,-0.006,-0.009,-0.034,Refrigerator
-0.032,-0.032,-0.084,-0.002,-0.006,-0.009,-0.034,Refrigerator
-0.032,-0.032,-0.084,-0.002,-0.006,-0.009,-0.034,Refrigerator
0.075,0.071,0.315,0.008,0.555,0.033,0.076,Refrigerator
-0.032,-0.032,-0.084,-0.002,-0.006,-0.009,-0.034,Refrigerator
-0.032,-0.032,-0.084,-0.002,-0.006,-0.009,-0.034,Refrigerator
-0.032,-0.032,-0.084,-0.002,-0.006,-0.009,-0.034,Refrigerator
-0.032,-0.032,-0.084,-0.002,-0.006,-0.009,-0.034,Refrigerator
-0.032,-0.032,-0.084,-0.002,-0.006,-0.009,-0.034,Refrigerator
-0.032,-0.032,-0.084,-0.002,-0.006,-0.009,-0.034,Refrigerator
0.062,0.058,0.120,0.001,0.010,-0.002,0.062,Refrigerator
-0.032,-0.032,-0.084,-0.002,-0.006,-0.009,-0.034,Refrigerator
