moyenne,mediane,ecartType,variance,symetrie,kurtosis,harmonique,appareil
5.559,6.000,0.830,0.689,-1.340,-0.173,5.404,Router
8.376,9.000,1.219,1.486,-1.431,0.069,8.152,Router
5.923,6.000,0.392,0.153,-4.395,21.189,5.886,Router
5.934,6.000,0.375,0.140,-4.236,25.198,5.901,Router
5.935,6.000,0.383,0.147,-3.764,25.113,5.900,Router
5.560,6.000,0.828,0.686,-1.353,-0.170,5.406,Router
8.416,9.000,1.189,1.414,-1.536,0.378,8.202,Router
5.948,6.000,0.355,0.126,-3.645,31.927,5.919,Router
5.929,6.000,0.389,0.151,-4.037,23.055,5.893,Router
5.560,6.000,0.828,0.686,-1.352,-0.172,5.405,Router
5.545,6.000,0.838,0.703,-1.300,-0.309,5.387,Router
5.911,6.000,0.417,0.173,-4.249,17.484,5.869,Router
5.561,6.000,0.828,0.685,-1.355,-0.163,5.407,Router
5.929,6.000,0.383,0.146,-4.367,23.069,5.894,Router
5.545,6.000,0.838,0.703,-1.300,-0.309,5.387,Router
8.219,9.000,1.317,1.735,-1.090,-0.806,7.963,Router
5.564,6.000,0.826,0.681,-1.367,-0.130,5.411,Router
