moyenne,mediane,ecartType,variance,symetrie,kurtosis,harmonique,appareil
0.003,-0.002,0.004,0.000,0.055,-0.247,0.022,Washingmachine
-0.002,-0.009,-0.002,-0.000,1.742,0.159,-0.051,Washingmachine
-0.002,-0.009,-0.002,-0.000,1.477,0.256,-0.053,Washingmachine
-0.002,-0.009,-0.002,-0.000,0.861,0.150,-0.055,Washingmachine
-0.002,-0.009,-0.002,-0.000,1.197,0.131,-0.055,Washingmachine
0.011,0.066,0.006,0.000,-2.203,-0.438,0.330,Washingmachine
-0.002,-0.009,-0.002,-0.000,0.848,0.177,-0.056,Washingmachine
0.009,0.055,0.006,0.000,-1.747,-0.414,0.237,Washingmachine
-0.002,-0.009,-0.002,-0.000,-0.144,0.076,-0.056,Washingmachine
-0.002,-0.009,-0.002,-0.000,0.572,0.171,-0.055,Washingmachine
-0.002,-0.009,-0.002,-0.000,0.536,0.244,-0.057,Washingmachine
-0.002,-0.009,-0.002,-0.000,0.043,0.083,-0.056,Washingmachine
-0.002,-0.009,-0.002,-0.000,-1.319,-0.106,-0.054,Washingmachine
0.005,0.002,0.005,0.000,-0.715,-0.334,0.182,Washingmachine
-0.002,-0.009,-0.002,-0.000,-3.210,-0.316,-0.056,Washingmachine
-0.002,-0.009,-0.002,-0.000,0.897,0.145,-0.055,Washingmachine
-0.002,-0.009,-0.002,-0.000,0.651,0.118,-0.055,Washingmachine
-0.002,-0.009,-0.002,-0.000,0.459,0.143,-0.056,Washingmachine
0.027,0.600,0.013,0.000,-0.143,-0.355,1.935,Washingmachine
-0.003,-0.075,-0.002,-0.000,-0.978,-0.277,-0.229,Washingmachine
-0.003,-0.075,-0.002,-0.000,1.051,0.279,-0.234,Washingmachine
-0.003,-0.075,-0.002,-0.000,1.214,0.304,-0.236,Washingmachine
-0.003,-0.075,-0.002,-0.000,0.569,0.184,-0.274,Washingmachine
-0.003,-0.075,-0.002,-0.000,0.203,0.148,-0.245,Washingmachine
-0.003,-0.075,-0.002,-0.000,0.283,0.027,-0.222,Washingmachine
-0.003,-0.075,-0.002,-0.000,-2.994,-0.388,-0.282,Washingmachine
-0.003,-0.075,-0.002,-0.000,0.795,0.079,-0.214,Washingmachine
0.024,0.127,0.017,0.000,-0.764,-0.322,0.778,Washingmachine
-0.002,-0.009,-0.001,-0.000,0.495,0.153,-0.062,Washingmachine
-0.002,-0.009,-0.001,-0.000,0.519,0.134,-0.048,Washingmachine
-0.002,-0.009,-0.001,-0.000,0.063,-0.087,-0.049,Washingmachine
-0.002,-0.009,-0.001,-0.000,0.799,0.216,-0.059,Washingmachine
-0.002,-0.009,-0.001,-0.000,-1.621,-0.245,-0.069,Washingmachine
-0.002,-0.009,-0.001,-0.000,-1.644,-0.287,-0.061,Washingmachine
-0.002,-0.009,-0.001,-0.000,0.419,0.121,-0.060,Washingmachine
-0.002,-0.009,-0.001,-0.000,-1.608,-0.278,-0.060,Washingmachine
-0.002,-0.009,-0.001,-0.000,1.402,0.413,-0.047,Washingmachine
-0.002,-0.009,-0.001,-0.000,0.287,0.059,-0.056,Washingmachine
-0.002,-0.009,-0.001,-0.000,0.892,0.178,-0.051,Washingmachine
-0.002,-0.009,-0.001,-0.000,0.035,-0.200,-0.045,Washingmachine
-0.002,-0.009,-0.001,-0.000,0.362,0.122,-0.058,Washingmachine
-0.002,-0.009,-0.001,-0.000,0.366,0.022,-0.055,Washingmachine
0.005,0.025,0.003,0.000,-1.902,-0.196,0.155,Washingmachine
0.003,0.018,0.003,0.000,-1.366,-0.183,0.167,Washingmachine
-0.002,-0.011,-0.002,-0.000,0.808,0.092,-0.081,Washingmachine
-0.002,-0.011,-0.002,-0.000,0.697,0.157,-0.082,Washingmachine
-0.002,-0.011,-0.002,-0.000,0.693,0.004,-0.080,Washingmachine
-0.002,-0.011,-0.002,-0.000,1.069,0.126,-0.079,Washingmachine
